tstep 	 iter 	 PG[MW] 	 ThPow [MW] 	 PGMAX [MW]
0 	 1 	 60 	 92.3076752573252 	 60
0 	 2 	 60 	 92.3076752573252 	 60
0 	 3 	 2.42762637138367 	 14.178268385469 	 2.42762644405296
0 	 4 	 2.42762637138367 	 14.178268385469 	 2.42762644405296
1 	 1 	 47.4276275634766 	 82.6952842327491 	 60
1 	 2 	 2.42762637138367 	 14.178268385469 	 2.42762640649606
1 	 3 	 4.2231330871582 	 23.5492026425747 	 4.2231328524942
1 	 4 	 4.2231330871582 	 23.5492026425747 	 4.2231328524942
1 	 5 	 2.4275951385498 	 14.1780973046949 	 2.42759504927422
2 	 1 	 47.4275932312012 	 82.6952775099459 	 60
2 	 2 	 2.42759490013123 	 14.1780959987337 	 2.4275950126982
2 	 3 	 2.42759490013123 	 14.1780959987337 	 2.4275950126982
2 	 4 	 2.42737746238708 	 14.1769049551902 	 2.42737753675427
3 	 1 	 47.427375793457 	 82.6952349337759 	 60
3 	 2 	 2.42737746238708 	 14.1769049551902 	 2.42737749998141
3 	 3 	 2.42737746238708 	 14.1769049551902 	 2.42737749998141
3 	 4 	 2.42650699615479 	 14.1721367245708 	 2.42650704414813
4 	 1 	 47.4265060424805 	 82.6950646564407 	 60
4 	 2 	 2.42650699615479 	 14.1721367245708 	 2.42650702592569
4 	 3 	 2.42650699615479 	 14.1721367245708 	 2.42650702592569
4 	 4 	 2.42390608787537 	 14.1578881761082 	 2.42390601868796
5 	 1 	 47.4239044189453 	 82.6945555792231 	 60
5 	 2 	 2.42390608787537 	 14.1578881761082 	 2.423906159598
5 	 3 	 2.42390608787537 	 14.1578881761082 	 2.423906159598
5 	 4 	 2.41752672195435 	 14.1229317318242 	 2.41752667570701
6 	 1 	 47.4175262451172 	 82.6933091742491 	 60
6 	 2 	 2.41752767562866 	 14.1229369584787 	 2.41752771913087
6 	 3 	 2.41752767562866 	 14.1229369584787 	 2.41752771913087
6 	 4 	 2.40410351753235 	 14.0493388922781 	 2.40410361230397
7 	 1 	 47.4041023254395 	 82.690693584042 	 60
7 	 2 	 2.40410828590393 	 14.0493650442836 	 2.40410836999319
7 	 3 	 2.40410828590393 	 14.0493650442836 	 2.40410836999319
7 	 4 	 2.37919926643372 	 13.9126613696447 	 2.37919935998949
8 	 1 	 47.3791999816895 	 82.6858689751402 	 60
8 	 2 	 2.37921571731567 	 13.9127517140219 	 2.37921583254554
8 	 3 	 2.37921571731567 	 13.9127517140219 	 2.37921583254554
8 	 4 	 2.33760476112366 	 13.6839805003759 	 2.33760478936083
9 	 1 	 47.3376045227051 	 82.6778896355399 	 60
9 	 2 	 2.33765077590942 	 13.6842337635959 	 2.33765077183209
9 	 3 	 2.33765077590942 	 13.6842337635959 	 2.33765077183209
9 	 4 	 2.27411651611328 	 13.3339523355711 	 2.27411644095589
10 	 1 	 47.2741165161133 	 82.6659010211152 	 60
