tstep 	 iter 	 P[bar-g] 	 Q [sm3/s] 	 ThPow [MW] 
1 	 1 	 30 	 0.776809394359589 	 32.0161991885304
1 	 2 	 30 	 0.776809394359589 	 32.0161991885304
1 	 3 	 30 	 0.814495623111725 	 33.5694371065497
1 	 4 	 30 	 0.814495623111725 	 33.5694371065497
1 	 5 	 30 	 0.637603938579559 	 26.2788463285565
1 	 6 	 30.0001430511475 	 0.776809334754944 	 32.016196731925
1 	 7 	 30.0036010742188 	 0.776809334754944 	 32.016196731925
2 	 1 	 30.0058059692383 	 0.776809334754944 	 32.016196731925
2 	 2 	 30.0058059692383 	 0.776809334754944 	 32.016196731925
3 	 1 	 30.0038890838623 	 0.776809334754944 	 32.016196731925
3 	 2 	 30.0038890838623 	 0.776809334754944 	 32.016196731925
4 	 1 	 30 	 0.722029685974121 	 29.7584535074234
4 	 2 	 30 	 0.722029685974121 	 29.7584535074234
4 	 3 	 30 	 0.722029685974121 	 29.7584535074234
4 	 4 	 30 	 0.548586249351501 	 22.6099822670221
4 	 5 	 30 	 0.722029328346252 	 29.7584387677908
5 	 1 	 30 	 0.548479616641998 	 22.6055873999
5 	 2 	 30 	 0.548479616641998 	 22.6055873999
5 	 3 	 30 	 0.548479616641998 	 22.6055873999
5 	 4 	 30 	 0.375139147043228 	 15.4613599453866
5 	 5 	 30 	 0.548479616641998 	 22.6055873999
6 	 1 	 30 	 0.338448315858841 	 13.9491473381221
6 	 2 	 30 	 0.338448315858841 	 13.9491473381221
6 	 3 	 30 	 0.338448315858841 	 13.9491473381221
6 	 4 	 30 	 0.165120631456375 	 6.8054468254745
6 	 5 	 30 	 0.338448315858841 	 13.9491473381221
7 	 1 	 30 	 0.10596177726984 	 4.36721465017647
7 	 2 	 30 	 0.10596177726984 	 4.36721465017647
7 	 3 	 30 	 0.10596177726984 	 4.36721465017647
7 	 4 	 29.9933109283447 	 0 	 0
7 	 5 	 30 	 0.105961605906487 	 4.36720758743584
8 	 1 	 29.9869079589844 	 0 	 0
8 	 2 	 29.9869079589844 	 0 	 0
8 	 3 	 29.9869079589844 	 0 	 0
8 	 4 	 29.9696102142334 	 0 	 0
8 	 5 	 29.9869079589844 	 0 	 0
9 	 1 	 29.9582710266113 	 0 	 0
