tstep 	 iter 	 PG[MW] 	 ThPow [MW] 	 PGMAX [MW]
0 	 1 	 102.133316040039 	 301.550534795425 	 115
0 	 2 	 102.133316040039 	 301.550534795425 	 115
0 	 3 	 115 	 328.571432013996 	 115
0 	 4 	 115 	 328.571432013996 	 115
1 	 1 	 115 	 328.571432013996 	 115
1 	 2 	 115 	 328.571432013996 	 115
1 	 3 	 102.133316040039 	 301.550534795425 	 102.133318443557
1 	 4 	 115 	 328.571432013996 	 115
1 	 5 	 115 	 328.571432013996 	 115
2 	 1 	 115 	 328.571432013996 	 115
2 	 2 	 115 	 328.571432013996 	 115
2 	 3 	 115 	 328.571432013996 	 115
2 	 4 	 115 	 328.571432013996 	 115
3 	 1 	 115 	 328.571432013996 	 115
3 	 2 	 115 	 328.571432013996 	 115
3 	 3 	 115 	 328.571432013996 	 115
3 	 4 	 115 	 328.571432013996 	 115
4 	 1 	 115 	 328.571432013996 	 115
4 	 2 	 115 	 328.571432013996 	 115
4 	 3 	 115 	 328.571432013996 	 115
4 	 4 	 115 	 328.571432013996 	 115
5 	 1 	 115 	 328.571432013996 	 115
5 	 2 	 115 	 328.571432013996 	 115
5 	 3 	 115 	 328.571432013996 	 115
5 	 4 	 115 	 328.571432013996 	 115
6 	 1 	 115 	 328.571432013996 	 115
6 	 2 	 115 	 328.571432013996 	 115
6 	 3 	 115 	 328.571432013996 	 115
6 	 4 	 115 	 328.571432013996 	 115
7 	 1 	 115 	 328.571432013996 	 115
7 	 2 	 115 	 328.571432013996 	 115
7 	 3 	 115 	 328.571432013996 	 115
7 	 4 	 115 	 328.571432013996 	 115
8 	 1 	 115 	 328.571432013996 	 115
8 	 2 	 115 	 328.571432013996 	 115
8 	 3 	 115 	 328.571432013996 	 115
8 	 4 	 115 	 328.571432013996 	 115
9 	 1 	 115 	 328.571432013996 	 115
9 	 2 	 115 	 328.571432013996 	 115
9 	 3 	 115 	 328.571432013996 	 115
9 	 4 	 115 	 328.571432013996 	 115
10 	 1 	 115 	 328.571432013996 	 115
10 	 2 	 115 	 328.571432013996 	 115
10 	 3 	 115 	 328.571432013996 	 115
10 	 4 	 115 	 328.571432013996 	 115
11 	 1 	 115 	 328.571432013996 	 115
11 	 2 	 115 	 328.571432013996 	 115
11 	 3 	 115 	 328.571432013996 	 115
11 	 4 	 115 	 328.571432013996 	 115
12 	 1 	 115 	 328.571432013996 	 115
12 	 2 	 115 	 328.571432013996 	 115
12 	 3 	 115 	 328.571432013996 	 115
12 	 4 	 115 	 328.571432013996 	 115
13 	 1 	 115 	 328.571432013996 	 115
13 	 2 	 115 	 328.571432013996 	 115
13 	 3 	 115 	 328.571432013996 	 115
13 	 4 	 115 	 328.571432013996 	 115
14 	 1 	 115 	 328.571432013996 	 115
14 	 2 	 115 	 328.571432013996 	 115
14 	 3 	 115 	 328.571432013996 	 115
14 	 4 	 115 	 328.571432013996 	 115
15 	 1 	 115 	 328.571432013996 	 115
15 	 2 	 115 	 328.571432013996 	 115
15 	 3 	 115 	 328.571432013996 	 115
15 	 4 	 115 	 328.571432013996 	 115
16 	 1 	 115 	 328.571432013996 	 115
16 	 2 	 115 	 328.571432013996 	 115
16 	 3 	 115 	 328.571432013996 	 115
16 	 4 	 115 	 328.571432013996 	 115
17 	 1 	 115 	 328.571432013996 	 115
17 	 2 	 115 	 328.571432013996 	 115
17 	 3 	 115 	 328.571432013996 	 115
17 	 4 	 115 	 328.571432013996 	 115
18 	 1 	 115 	 328.571432013996 	 115
18 	 2 	 115 	 328.571432013996 	 115
18 	 3 	 115 	 328.571432013996 	 115
18 	 4 	 115 	 328.571432013996 	 115
19 	 1 	 115 	 328.571432013996 	 115
19 	 2 	 115 	 328.571432013996 	 115
19 	 3 	 115 	 328.571432013996 	 115
19 	 4 	 115 	 328.571432013996 	 115
20 	 1 	 115 	 328.571432013996 	 115
20 	 2 	 115 	 328.571432013996 	 115
20 	 3 	 115 	 328.571432013996 	 115
21 	 1 	 115 	 328.571432013996 	 115
21 	 2 	 115 	 328.571432013996 	 115
21 	 3 	 115 	 328.571432013996 	 115
22 	 1 	 115 	 328.571432013996 	 115
22 	 2 	 115 	 328.571432013996 	 115
22 	 3 	 114.201293945313 	 326.331386413202 	 114.20129601495
22 	 4 	 114.201293945313 	 326.331386413202 	 114.20129601495
23 	 1 	 115 	 328.571432013996 	 115
23 	 2 	 114.201293945313 	 326.331386413202 	 114.20129601495
23 	 3 	 114.201293945313 	 326.331386413202 	 114.20129601495
23 	 4 	 111.999382019043 	 320.57919448866 	 111.999379141173
24 	 1 	 115 	 328.571432013996 	 115
24 	 2 	 111.999382019043 	 320.57919448866 	 111.999379164179
24 	 3 	 111.999382019043 	 320.57919448866 	 111.999379164179
24 	 4 	 110.796829223633 	 317.690057201344 	 110.796829077579
25 	 1 	 115 	 328.571432013996 	 115
25 	 2 	 110.796798706055 	 317.689986073041 	 110.79679800091
25 	 3 	 110.796798706055 	 317.689986073041 	 110.79679800091
25 	 4 	 109.759178161621 	 315.334438561852 	 109.759176683319
26 	 1 	 115 	 328.571432013996 	 115
26 	 2 	 109.759162902832 	 315.334404837243 	 109.759160147838
26 	 3 	 109.759162902832 	 315.334404837243 	 109.759160147838
26 	 4 	 108.775733947754 	 313.21562160068 	 108.775730996862
27 	 1 	 115 	 328.571432013996 	 115
27 	 2 	 108.775726318359 	 313.215605583893 	 108.775723895486
27 	 3 	 108.775726318359 	 313.215605583893 	 108.775723895486
27 	 4 	 107.831672668457 	 311.282679240717 	 107.831670484296
28 	 1 	 115 	 328.571432013996 	 115
28 	 2 	 107.831687927246 	 311.282709698978 	 107.831684271568
28 	 3 	 107.831687927246 	 311.282709698978 	 107.831684271568
