tstep 	 iter 	 PG[MW] 	 ThPow [MW] 	 PGMAX [MW]
0 	 1 	 98.239143371582 	 218.575603460175 	 100
0 	 2 	 98.239143371582 	 218.575603460175 	 100
0 	 3 	 100 	 222.222157029642 	 99.9999966792162
0 	 4 	 100 	 222.222157029642 	 99.9999966792162
1 	 1 	 100 	 222.222157029642 	 100
1 	 2 	 100 	 222.222157029642 	 100
1 	 3 	 98.239143371582 	 218.575603460175 	 98.2391435662126
1 	 4 	 100 	 222.222157029642 	 99.9999966792162
1 	 5 	 100 	 222.222157029642 	 99.9999966792162
2 	 1 	 100 	 222.222157029642 	 100
2 	 2 	 100 	 222.222157029642 	 100
2 	 3 	 100 	 222.222157029642 	 100
2 	 4 	 100 	 222.222157029642 	 100
3 	 1 	 100 	 222.222157029642 	 100
3 	 2 	 100 	 222.222157029642 	 100
3 	 3 	 100 	 222.222157029642 	 100
3 	 4 	 100 	 222.222157029642 	 100
4 	 1 	 100 	 222.222157029642 	 100
4 	 2 	 100 	 222.222157029642 	 100
4 	 3 	 100 	 222.222157029642 	 100
4 	 4 	 100 	 222.222157029642 	 100
5 	 1 	 100 	 222.222157029642 	 100
5 	 2 	 100 	 222.222157029642 	 100
5 	 3 	 100 	 222.222157029642 	 100
5 	 4 	 100 	 222.222157029642 	 100
6 	 1 	 100 	 222.222157029642 	 100
6 	 2 	 100 	 222.222157029642 	 100
6 	 3 	 100 	 222.222157029642 	 100
6 	 4 	 100 	 222.222157029642 	 100
7 	 1 	 100 	 222.222157029642 	 100
7 	 2 	 100 	 222.222157029642 	 100
7 	 3 	 100 	 222.222157029642 	 100
7 	 4 	 100 	 222.222157029642 	 100
8 	 1 	 100 	 222.222157029642 	 100
8 	 2 	 100 	 222.222157029642 	 100
8 	 3 	 100 	 222.222157029642 	 100
8 	 4 	 100 	 222.222157029642 	 100
9 	 1 	 100 	 222.222157029642 	 100
9 	 2 	 100 	 222.222157029642 	 100
9 	 3 	 100 	 222.222157029642 	 100
9 	 4 	 100 	 222.222157029642 	 100
10 	 1 	 100 	 222.222157029642 	 100
10 	 2 	 100 	 222.222157029642 	 100
10 	 3 	 100 	 222.222157029642 	 100
10 	 4 	 100 	 222.222157029642 	 100
11 	 1 	 100 	 222.222157029642 	 100
11 	 2 	 100 	 222.222157029642 	 100
11 	 3 	 100 	 222.222157029642 	 100
11 	 4 	 100 	 222.222157029642 	 100
12 	 1 	 100 	 222.222157029642 	 100
12 	 2 	 100 	 222.222157029642 	 100
12 	 3 	 100 	 222.222157029642 	 100
12 	 4 	 100 	 222.222157029642 	 100
13 	 1 	 100 	 222.222157029642 	 100
13 	 2 	 100 	 222.222157029642 	 100
13 	 3 	 100 	 222.222157029642 	 100
13 	 4 	 100 	 222.222157029642 	 100
14 	 1 	 100 	 222.222157029642 	 100
14 	 2 	 100 	 222.222157029642 	 100
14 	 3 	 100 	 222.222157029642 	 100
14 	 4 	 100 	 222.222157029642 	 100
15 	 1 	 100 	 222.222157029642 	 100
15 	 2 	 100 	 222.222157029642 	 100
15 	 3 	 100 	 222.222157029642 	 100
15 	 4 	 100 	 222.222157029642 	 100
16 	 1 	 100 	 222.222157029642 	 100
16 	 2 	 100 	 222.222157029642 	 100
16 	 3 	 100 	 222.222157029642 	 100
16 	 4 	 100 	 222.222157029642 	 100
17 	 1 	 100 	 222.222157029642 	 100
17 	 2 	 100 	 222.222157029642 	 100
17 	 3 	 100 	 222.222157029642 	 100
17 	 4 	 100 	 222.222157029642 	 100
18 	 1 	 100 	 222.222157029642 	 100
18 	 2 	 100 	 222.222157029642 	 100
18 	 3 	 100 	 222.222157029642 	 100
18 	 4 	 100 	 222.222157029642 	 100
19 	 1 	 100 	 222.222157029642 	 100
19 	 2 	 100 	 222.222157029642 	 100
19 	 3 	 100 	 222.222157029642 	 100
19 	 4 	 100 	 222.222157029642 	 100
20 	 1 	 100 	 222.222157029642 	 100
20 	 2 	 100 	 222.222157029642 	 100
20 	 3 	 100 	 222.222157029642 	 100
21 	 1 	 100 	 222.222157029642 	 100
21 	 2 	 100 	 222.222157029642 	 100
21 	 3 	 100 	 222.222157029642 	 100
22 	 1 	 100 	 222.222157029642 	 100
22 	 2 	 100 	 222.222157029642 	 100
22 	 3 	 100 	 222.222157029642 	 100
22 	 4 	 100 	 222.222157029642 	 100
23 	 1 	 100 	 222.222157029642 	 100
23 	 2 	 100 	 222.222157029642 	 100
23 	 3 	 100 	 222.222157029642 	 100
23 	 4 	 100 	 222.222157029642 	 100
24 	 1 	 100 	 222.222157029642 	 100
24 	 2 	 100 	 222.222157029642 	 100
24 	 3 	 100 	 222.222157029642 	 100
24 	 4 	 100 	 222.222157029642 	 100
25 	 1 	 100 	 222.222157029642 	 100
25 	 2 	 100 	 222.222157029642 	 100
25 	 3 	 100 	 222.222157029642 	 100
25 	 4 	 100 	 222.222157029642 	 100
26 	 1 	 100 	 222.222157029642 	 100
26 	 2 	 100 	 222.222157029642 	 100
26 	 3 	 100 	 222.222157029642 	 100
26 	 4 	 100 	 222.222157029642 	 100
27 	 1 	 100 	 222.222157029642 	 100
27 	 2 	 100 	 222.222157029642 	 100
27 	 3 	 100 	 222.222157029642 	 100
27 	 4 	 100 	 222.222157029642 	 100
28 	 1 	 100 	 222.222157029642 	 100
28 	 2 	 100 	 222.222157029642 	 100
28 	 3 	 100 	 222.222157029642 	 100
28 	 4 	 100 	 222.222157029642 	 100
29 	 1 	 100 	 222.222157029642 	 100
29 	 2 	 100 	 222.222157029642 	 100
29 	 3 	 100 	 222.222157029642 	 100
29 	 4 	 100 	 222.222157029642 	 100
30 	 1 	 100 	 222.222157029642 	 100
30 	 2 	 100 	 222.222157029642 	 100
30 	 3 	 100 	 222.222157029642 	 100
30 	 4 	 100 	 222.222157029642 	 100
31 	 1 	 100 	 222.222157029642 	 100
