Date				 TimeStep	 Iteration 	 PG[MW] 	 FuelRate [m3/s]	 PGMAX [MW]
01/12/2016 06:00:00		0			0		 0.00000 	 0.00000 	 125.00000
01/12/2016 06:15:00		1			0		 0.00000 	 0.00000 	 125.00000
01/12/2016 06:30:00		2			0		 0.00000 	 0.00000 	 125.00000
01/12/2016 06:45:00		3			0		 0.00000 	 0.00000 	 125.00000
12/01/2016 06:00:00		0			0		 0.00000 	 0.00000 	 125.00000
12/01/2016 06:15:00		1			0		 33.42506 	 0.00000 	 125.00000
12/01/2016 06:30:00		2			0		 45.08010 	 0.00000 	 125.00000
12/01/2016 06:45:00		3			0		 55.19508 	 0.00000 	 125.00000
12/01/2016 07:00:00		4			0		 63.00000 	 0.00000 	 125.00000
12/01/2016 07:15:00		5			0		 68.00266 	 0.00000 	 125.00000
12/01/2016 07:30:00		6			0		 70.82221 	 0.00000 	 125.00000
12/01/2016 07:45:00		7			0		 72.35566 	 0.00000 	 125.00000
12/01/2016 07:00:00		4			1		 63.00000 	 0.00000 	 125.00000
12/01/2016 07:15:00		5			1		 68.00266 	 0.00000 	 125.00000
12/01/2016 07:30:00		6			1		 70.82221 	 0.00000 	 125.00000
12/01/2016 07:45:00		7			1		 72.35566 	 0.00000 	 125.00000
12/01/2016 07:00:00		4			2		 63.00000 	 0.00000 	 125.00000
12/01/2016 07:15:00		5			2		 68.00266 	 0.00000 	 125.00000
12/01/2016 07:30:00		6			2		 70.82221 	 0.00000 	 125.00000
12/01/2016 07:45:00		7			2		 72.35566 	 0.00000 	 125.00000
12/01/2016 07:00:00		4			3		 63.00000 	 0.00000 	 125.00000
12/01/2016 07:15:00		5			3		 68.00266 	 0.00000 	 125.00000
12/01/2016 07:30:00		6			3		 70.82221 	 0.00000 	 125.00000
12/01/2016 07:45:00		7			3		 72.35566 	 0.00000 	 125.00000
12/01/2016 08:00:00		8			0		 73.50000 	 0.00000 	 125.00000
12/01/2016 08:15:00		9			0		 75.02525 	 0.00000 	 125.00000
12/01/2016 08:30:00		10			0		 77.19355 	 0.00000 	 125.00000
12/01/2016 08:45:00		11			0		 80.14008 	 0.00000 	 125.00000
12/01/2016 08:00:00		8			1		 73.50000 	 0.00000 	 125.00000
12/01/2016 08:15:00		9			1		 75.02525 	 0.00000 	 125.00000
12/01/2016 08:30:00		10			1		 77.19355 	 0.00000 	 125.00000
12/01/2016 08:45:00		11			1		 80.14008 	 0.00000 	 125.00000
12/01/2016 08:00:00		8			2		 73.50000 	 0.00000 	 125.00000
12/01/2016 08:15:00		9			2		 75.02525 	 0.00000 	 125.00000
12/01/2016 08:30:00		10			2		 77.19355 	 0.00000 	 125.00000
12/01/2016 08:45:00		11			2		 80.14008 	 0.00000 	 125.00000
12/01/2016 08:00:00		8			3		 73.50000 	 0.00000 	 125.00000
12/01/2016 08:15:00		9			3		 75.02525 	 0.00000 	 125.00000
